STUDY_ID;LAB_ID;INSTITUTE_ID;SAMPLE_SIZE;RANDOM_ALLOCATION;BLINDED_ASSESMENT;EXPERIMENT_FLOW;CONTROL_SELECTION;DOSE_RESPONSE;BASELINE_CHARACTERIZATION;DISEASE_MATCH;MECHANISTIC_RESPONSE;OUTCOME_MATCH;AGE_MATCH;MODEL_REPLICATION;INDEPENDENT_REPLICATION;SPECIES_REPLICATION;ED_STANDARDIZATION;RESEARCH_PURPOSE;TRANSLATIONAL_CLAIM;ORIGINAL_DATASET
Schwager_2013;PHILOCHEM;PHILOCHEM;0;1;0;0;1;0;6;0;1;1;1;0;0;0;0;0;2;0
Shrimali_2017;GCC;GCC;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;1;0
Simmons_2008;CELLGENESYS;CELLGENESYS;0;0;0;0;1;1;5;0;1;1;0;1;0;0;0;0;0;0
Sivick_2018;ADURO;ADURO;0;1;0;0;1;1;6;0;1;1;0;1;0;0;0;0;2;0
Stone_2017;SKCCC-DO;SKCCC;0;0;0;0;1;0;6;0;1;1;0;1;0;0;0;0;2;0
Sudahiro_2018;UAB-DN;UAB;0;0;0;0;1;0;5;1;1;1;0;0;0;0;0;0;1;0
Taggart_2018;LICP;LICP;1;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;2;1
Takasaka_2018;UCSF-DP;UCSF;0;0;0;0;1;0;6;1;1;1;0;1;0;0;0;0;1;0
Tallon_de_Lara_2018;UZ-IEI;UZ;0;1;0;0;1;0;6;1;1;1;0;0;0;0;0;0;2;0
Tan_2018;UM-DPOM;UM;0;0;0;0;1;1;5;1;1;1;0;1;0;0;0;0;0;0
Tao_2009;JICR-ROD;JICR;0;0;0;0;1;0;5;0;1;1;0;0;0;0;0;0;0;0
Teo_2017;PMCC-DR;PMCC;0;1;0;0;1;0;6;1;1;1;0;0;0;0;0;0;2;0
Ueha_2015;UTO-DMPM;UTO;0;0;0;0;1;0;6;0;1;1;0;1;0;0;0;0;2;0
Umezu_2019;YU-DI;YU;0;0;0;0;0;0;6;0;0;1;0;1;0;0;0;0;1;0
Van_Hooren_2017;UU-DIGP;UU;0;0;0;0;1;1;5;0;0;1;0;0;0;0;0;0;2;0
Vanpouille_Box_2015;NYU-DP;NYU;0;1;0;0;0;0;6;0;0;1;0;0;0;0;0;0;2;0
Vera_Aguilera_2017;MC-DH;MC;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
Wainwright_2014;TBTC;TBTC;0;0;0;0;0;0;5;0;1;1;0;1;0;0;0;0;2;1
Waitz_2011;MSKCC-DI;MSKCC;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;1;0
Wang_2017;UTSMC;UTSMC;0;0;0;0;1;1;3;0;1;1;0;0;0;0;0;0;1;0
Williams_2013;CRUKECMC-AVG;CRUKECMC;0;0;0;0;1;0;6;1;0;1;1;1;0;0;0;0;1;0
WuC_2018;SYUCC-SKLOSC;SYUCC;0;0;0;0;1;0;6;1;1;1;0;1;0;0;0;0;1;0
Yu_2010;CCR-MB;CCR;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;2;0
Zamarin_2014;MSKCC-DM;MSKCC;1;1;0;1;1;0;3;1;1;1;0;1;0;0;0;0;1;1
Zhao_2018;UT-MDACC;UT;0;0;0;0;1;1;6;1;1;1;0;1;0;0;0;0;1;0
Zippelius_2015;UB-UH-DB;UB;0;0;0;0;1;0;5;0;1;1;0;1;0;0;0;0;2;0
Dai_2014;HMC-DP;HMC;0;1;0;0;1;0;6;0;1;1;0;1;0;0;0;0;1;0
Dovedi_2017;ICS-TTG;ICS;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0
Klyushnenkova_2014;DSDU-UM;DSDU;0;1;0;0;1;0;6;0;1;1;0;1;0;0;0;0;0;1
Li_2009;CELLGENESYS;CELLGENESYS;0;0;0;0;1;0;6;0;1;1;0;1;0;0;0;0;1;0
Luheshi_2016;MEDIMMUNE;MEDIMMUNE;1;1;1;0;1;0;6;0;1;1;0;0;0;0;0;0;0;0
Morris_2016;UW-DHO;UW;0;1;0;0;1;0;6;0;1;1;0;1;0;0;0;0;1;0
Murphy_2018;UM-DU;;0;0;0;0;1;0;6;1;1;1;0;0;0;0;0;0;1;0
Silvestrini_2017;UCD-DBE;UCD;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;2;0
Son_2014;DIRMS-DRC;DIRMS;0;0;0;0;1;0;6;0;0;1;0;0;0;0;0;0;1;0
Tran_2017;OCD-NIDOCD;OCD;0;1;0;0;1;0;6;0;1;1;0;1;0;0;0;0;1;0
Van_Woensel_2017;KUL-ENN;KUL;0;0;0;0;1;0;5;1;1;1;0;0;0;0;0;0;1;0
Weir_2016;IMMUNOVACCINE;IMMUNOVACCINE;0;0;0;0;1;0;6;1;0;1;0;0;0;0;0;0;0;0
Woods_2015;HLMCCRI;HLMCCRI;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;1;0
WuL_2012;TGH-DTS;TGH;0;1;0;0;1;0;1;0;1;1;0;1;0;0;0;0;1;0
Xue_2016;UN-DCO;UN;0;0;0;0;1;0;4;1;1;1;0;0;0;0;0;0;1;0
Yoshimoto_2014;GU-DRO;GU;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0
Zhang_2018;UF-DRO;UF;0;0;0;0;1;1;4;1;1;1;0;1;0;0;0;0;1;0
Zhu_2018;PUMCH-DOG;PUMCH;0;0;0;0;1;0;6;0;0;1;0;0;0;0;0;0;1;0
Elia_2018;IRCCSSRSI-DI;IRCCSSRSI;0;1;0;0;1;0;4;0;1;1;0;1;0;0;0;0;1;0
Highfill_2014;NCI-POB;NCI;1;1;0;0;1;0;4;1;1;1;1;1;0;0;0;0;1;0
Rech_2018;AFCRI;AFCRI;1;1;1;0;1;0;6;1;1;1;0;1;0;0;0;0;2;0
Twyman_Saint_Victor_2015;AFCRI;AFCRI;1;1;1;0;1;0;6;1;1;1;0;1;0;0;0;0;1;0
WangY_2018;UTSMC-CGHD;UTSMC;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;1;0
Winograd_2015;AFCRI;AFCRI;0;1;0;0;1;0;6;1;1;1;0;1;0;0;0;0;1;0
Yonesaka_2018;KU-DMO;KU;0;0;0;0;1;0;6;1;1;1;0;1;0;0;0;0;1;0
