STUDY_ID;MODEL_TYPE;CELL;CANCER_DISEASE;SITE;T0_cells;BASELINE_mL;AGE;SEX_1_female;BACKGROUND;STRAIN;EUTHANIZED;tf_days;N_mice;BASELINE_days;BASELINE_differential;FIG;HR;HR_LB;HR_UB;MedS;MedSD;MeanS;MeanSD;TREATMENT_1;TREATMENT_2;TREATMENT_3;TREATMENT_4;TREAT_START_1;TREAT_START_2;TREAT_START_3;TREAT_START_4;FREQ_1;FREQ_2;FREQ_3;FREQ_4;DOSE_1;DOSE_2;DOSE_3;DOSE_4;AGENT_1;AGENT_2;AGENT_3;AGENT_4;ROUTE_1;ROUTE_2;ROUTE_3;ROUTE_4;SIGNIFICANT
Beavis_2018;SyMM;AT3OVACD73;Breast cancer;SC;0,5;NA;YOUNG;1;C57BL/6;WT;>0,5;100;9;14;14;1b;;;;;;;;antiPD1;NA;NA;NA;0;0;0;0;Q2Dx4;NA;NA;NA;10;0;0;0;RMP1-14;NA;NA;NA;IP;NA;NA;NA;ND
Beavis_2018;SyMM;AT3OVACD73;Breast cancer;SC;0,5;NA;YOUNG;1;C57BL/6;WT;>0,5;100;9;14;14;1b;;;;;;;;antiCTLA4;antiPD1;NA;NA;0;0;0;0;Q2Dx4;Q2Dx4;NA;NA;7,5;10;0;0;9D9;RMP1-14;NA;NA;IP;IP;NA;NA;1
Beavis_2018;SyMM;AT3OVACD73;Breast cancer;SC;0,5;NA;YOUNG;1;C57BL/6;WT;>0,5;110;21;14;14;7a;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;IP;NA;NA;NA;NA
Beavis_2018;SyMM;AT3OVACD73;Breast cancer;SC;0,5;NA;YOUNG;1;C57BL/6;WT;>0,5;110;21;14;14;7a;;;;;;;;antiCTLA4;antiPD1;NA;NA;0;0;0;0;Q4Dx2;Q4Dx2;NA;NA;7,5;10;0;0;9D9;RMP1-14;NA;NA;IP;IP;NA;NA;NA
Beavis_2018;SyMM;AT3OVACD73IL12p35;Breast cancer;SC;0,5;NA;YOUNG;1;C57BL/6;IL12p35-/-;>0,5;110;21;14;14;7a;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;IP;NA;NA;NA;0
Beavis_2018;SyMM;AT3OVACD73IL12p35;Breast cancer;SC;0,5;NA;YOUNG;1;C57BL/6;IL12p35-/-;>0,5;110;21;14;14;7a;;;;;;;;antiCTLA4;antiPD1;NA;NA;0;0;0;0;Q4Dx2;Q4Dx2;NA;NA;7,5;10;0;0;9D9;RMP1-14;NA;NA;IP;IP;NA;NA;1
Beavis_2018;SyMM;MC38OVA;Colon cancer;SC;1;NA;YOUNG;1;C57BL/6;WT;>0,5;50;9;14;14;1d;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;IP;NA;NA;NA;NA
Beavis_2018;SyMM;MC38OVA;Colon cancer;SC;1;NA;YOUNG;1;C57BL/6;WT;>0,5;50;9;14;14;1d;;;;;;;;antiCTLA4;antiPD1;NA;NA;0;0;0;0;Q2Dx4;Q2Dx4;NA;NA;7,5;10;0;0;9D9;RMP1-14;NA;NA;IP;IP;NA;NA;1
Belcaid_2014;SyMM;GL261;Glioblastoma;OT;0,13;NA;YOUNG;1;C57BL/6;WT;OTHER;50;5;10;0;1b;;;;23;;;;RT;NA;NA;NA;0;0;0;0;SD;NA;NA;NA;10;0;0;0;SARRP;NA;NA;NA;IC;NA;NA;NA;1
Belcaid_2014;SyMM;GL261;Glioblastoma;OT;0,13;NA;YOUNG;1;C57BL/6;WT;OTHER;50;5;10;0;1b;;;;23;;;;anti41BB;RT;NA;NA;1;0;0;0;Q3Dx3;SD;NA;NA;10;10;0;0;2A;SARRP;NA;NA;IP;IC;NA;NA;1
Belcaid_2014;SyMM;GL261;Glioblastoma;OT;0,13;NA;YOUNG;1;C57BL/6;WT;OTHER;50;6;10;0;1b;;;;29;;;;antiCTLA4;RT;NA;NA;4;0;0;0;Q3Dx6;SD;NA;NA;40;10;0;0;4F10;SARRP;NA;NA;IP;IC;NA;NA;1
Belcaid_2014;SyMM;GL261;Glioblastoma;OT;0,13;NA;YOUNG;1;C57BL/6;WT;OTHER;50;6;10;0;1b;;;;17,5;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;IgG;NA;NA;NA;IP;NA;NA;NA;NA
Belcaid_2014;SyMM;GL261;Glioblastoma;OT;0,13;NA;YOUNG;1;C57BL/6;WT;OTHER;50;5;10;0;1b;;;;19;;;;anti41BB;NA;NA;NA;1;0;0;0;Q3Dx3;NA;NA;NA;10;0;0;0;2A;NA;NA;NA;IP;NA;NA;NA;0
Belcaid_2014;SyMM;GL261;Glioblastoma;OT;0,13;NA;YOUNG;1;C57BL/6;WT;OTHER;50;5;10;0;1b;;;;19;;;;antiCTLA4;NA;NA;NA;4;0;0;0;Q3Dx6;NA;NA;NA;40;0;0;0;4F10;NA;NA;NA;IP;NA;NA;NA;0
Belcaid_2014;SyMM;GL261;Glioblastoma;OT;0,13;NA;YOUNG;1;C57BL/6;WT;OTHER;100;18;10;0;3b;;;;20,5;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;IgG;NA;NA;NA;IP;NA;NA;NA;NA
Belcaid_2014;SyMM;GL261;Glioblastoma;OT;0,13;NA;YOUNG;1;C57BL/6;WT;OTHER;100;18;10;0;3b;;;;22,5;;;;anti41BB;antiCTLA4;NA;NA;1;4;0;0;Q3Dx3;Q3Dx6;NA;NA;10;40;0;0;2A;4F10;NA;NA;IP;IP;NA;NA;0
Belcaid_2014;SyMM;GL261;Glioblastoma;OT;0,13;NA;YOUNG;1;C57BL/6;WT;OTHER;100;18;10;0;3b;;;;24;;;;RT;NA;NA;NA;0;0;0;0;SD;NA;NA;NA;10;0;0;0;SARRP;NA;NA;NA;IC;NA;NA;NA;0
Belcaid_2014;SyMM;GL261;Glioblastoma;OT;0,13;NA;YOUNG;1;C57BL/6;WT;OTHER;100;18;10;0;3b;;;;66,5;;;;anti41BB;antiCTLA4;RT;NA;1;4;0;0;Q3Dx3;Q3Dx6;SD;NA;10;40;10;0;2A;4F10;SARRP;NA;IP;IP;IC;NA;1
Benzon_2018;SyMM;MycCap;Prostate cancer;SC;0,2;0,1;YOUNG;0;FVB/NJ;WT;>2cm3;150;10;26;0;2a;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Benzon_2018;SyMM;MycCap;Prostate cancer;SC;0,2;0,1;YOUNG;0;FVB/NJ;WT;>2cm3;150;12;26;0;2a;;;;;;;;antiPD1;NA;NA;NA;0;0;0;0;Q2Dx4;NA;NA;NA;10;0;0;0;J43;NA;NA;NA;IP;NA;NA;NA;0
Benzon_2018;SyMM;MycCap;Prostate cancer;SC;0,2;0,1;YOUNG;0;FVB/NJ;WT;>2cm3;150;9;26;0;2a;0,126;0,0372;0,427;;;;;Cryotherapy;NA;NA;NA;2;0;0;0;SD;NA;NA;NA;1;0;0;0;Cryocare_HeathTronics;NA;NA;NA;SC;NA;NA;NA;1
Benzon_2018;SyMM;MycCap;Prostate cancer;SC;0,2;0,1;YOUNG;0;FVB/NJ;WT;>2cm3;150;9;26;0;2a;;;;;;;;antiPD1;Cryotherapy;NA;NA;0;2;0;0;Q2Dx4;SD;NA;NA;10;1;0;0;J43;Cryocare_HeathTronics;NA;NA;IP;SC;NA;NA;1
Benzon_2018;SyMM;MycCap;Prostate cancer;SC;0,2;0,1;YOUNG;0;FVB/NJ;WT;>2cm3;150;5;26;0;2b;;;;;;;;antiCTLA4;NA;NA;NA;0;0;0;0;Q2Dx4;NA;NA;NA;1;0;0;0;9H10;NA;NA;NA;IP;NA;NA;NA;0
Benzon_2018;SyMM;MycCap;Prostate cancer;SC;0,2;0,1;YOUNG;0;FVB/NJ;WT;>2cm3;150;8;26;0;2b;0,25;0,0782;0,784;;;;;antiCTLA4;Cryotherapy;NA;NA;0;2;0;0;Q2Dx4;SD;NA;NA;1;1;0;0;9H10;Cryocare_HeathTronics;NA;NA;IP;SC;NA;NA;1
Benzon_2018;SyMM;MycCap;Prostate cancer;SC;0,2;0,3;YOUNG;0;FVB/NJ;WT;>2cm3;150;9;28;0;2c;0,131;0,041;0,42;;;;;ADT;NA;NA;NA;0;0;0;0;SD;NA;NA;NA;25;0;0;0;Degarelix;NA;NA;NA;SC;NA;NA;NA;1
Benzon_2018;SyMM;MycCap;Prostate cancer;SC;0,2;0,3;YOUNG;0;FVB/NJ;WT;>2cm3;150;9;28;0;2c;;;;;;;;ADT;antiPD1;NA;NA;0;4;0;0;SD;Q2Dx4;NA;NA;25;10;0;0;Degarelix;J43;NA;NA;SC;IP;NA;NA;0
Benzon_2018;SyMM;MycCap;Prostate cancer;SC;0,2;0,3;YOUNG;0;FVB/NJ;WT;>2cm3;150;5;28;0;2c;0,56;0,19;1,64;;;;;ADT;Cryotherapy;NA;NA;0;6;0;0;SD;SD;NA;NA;25;1;0;0;Degarelix;Cryocare_HeathTronics;NA;NA;SC;SC;NA;NA;0
Benzon_2018;SyMM;MycCap;Prostate cancer;SC;0,2;0,3;YOUNG;0;FVB/NJ;WT;>2cm3;150;8;28;0;2c;0,798;0,297;2,142;;;;;ADT;antiPD1;Cryotherapy;NA;0;4;6;0;SD;Q2Dx4;SD;NA;25;10;1;0;Degarelix;J43;Cryocare_HeathTronics;NA;SC;IP;SC;NA;0
Bommareddy_2018;SyMM;CT26;Colon cancer;SC;0,2;NA;ADULT;ND;C57BL/6J;WT;>400cm2;55;10;15;0;8h;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bommareddy_2018;SyMM;CT26;Colon cancer;SC;0,2;NA;ADULT;ND;C57BL/6J;WT;>400cm2;55;10;15;0;8h;;;;;;;;antiPD1;TVEC;NA;NA;0;0;0;0;Q4Dx4;Q4Dx6;NA;NA;10;1;0;0;RMP1-14;mTVEC;NA;NA;IP;IT;NA;NA;NA
Bommareddy_2018;SyMM;CT26;Colon cancer;SC;0,2;NA;ADULT;ND;C57BL/6J;WT;>400cm2;55;10;15;0;8h;;;;;;;;antiPD1;MEKi;NA;NA;0;0;0;0;Q4Dx4;Q1Dx13;NA;NA;10;0,5;0;0;RMP1-14;Tratemitinib;NA;NA;IP;OR;NA;NA;NA
Bommareddy_2018;SyMM;CT26;Colon cancer;SC;0,2;NA;ADULT;ND;C57BL/6J;WT;>400cm2;55;10;15;0;8h;;;;;;;;MEKi;TVEC;NA;NA;0;0;0;0;Q1Dx13;Q4Dx6;NA;NA;0,5;1;0;0;Tratemitinib;mTVEC;NA;NA;OR;IT;NA;NA;NA
Bommareddy_2018;SyMM;CT26;Colon cancer;SC;0,2;NA;ADULT;ND;C57BL/6J;WT;>400cm2;55;10;15;0;8h;;;;;;;;antiPD1;MEKi;TVEC;NA;0;0;0;0;Q4Dx4;Q1Dx13;Q4Dx6;NA;10;0,5;1;0;RMP1-14;Tratemitinib;mTVEC;NA;IP;OR;IT;NA;NA
Bommareddy_2018;SyMM;D4M3A;Melanoma;SC;0,3;NA;ADULT;ND;C57BL/6J;WT;>400cm2;90;9;15;0;3c;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bommareddy_2018;SyMM;D4M3A;Melanoma;SC;0,3;NA;ADULT;ND;C57BL/6J;WT;>400cm2;90;9;15;0;3c;;;;;;;;TVEC;NA;NA;NA;0;0;0;0;Q4Dx6;NA;NA;NA;1;0;0;0;mTVEC;NA;NA;NA;IT;NA;NA;NA;ND
Bommareddy_2018;SyMM;D4M3A;Melanoma;SC;0,3;NA;ADULT;ND;C57BL/6J;WT;>400cm2;90;9;15;0;3c;;;;;;;;MEKi;NA;NA;NA;0;0;0;0;Q1Dx11;NA;NA;NA;0,5;0;0;0;Tratemitinib;NA;NA;NA;OR;NA;NA;NA;ND
Bommareddy_2018;SyMM;D4M3A;Melanoma;SC;0,3;NA;ADULT;ND;C57BL/6J;WT;>400cm2;90;9;15;0;3c;;;;;;;;MEKi;TVEC;NA;NA;0;0;0;0;Q1Dx11;Q4Dx6;NA;NA;0,5;1;0;0;Tratemitinib;mTVEC;NA;NA;OR;IT;NA;NA;ND
Bommareddy_2018;SyMM;D4M3A;Melanoma;SC;0,3;NA;ADULT;ND;C57BL/6J;WT;>400cm2;120;9;15;0;8c;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bommareddy_2018;SyMM;D4M3A;Melanoma;SC;0,3;NA;ADULT;ND;C57BL/6J;WT;>400cm2;120;9;15;0;8c;;;;;;;;antiPD1;TVEC;NA;NA;0;0;0;0;Q4Dx4;Q4Dx6;NA;NA;10;1;0;0;RMP1-14;mTVEC;NA;NA;IP;IT;NA;NA;NA
Bommareddy_2018;SyMM;D4M3A;Melanoma;SC;0,3;NA;ADULT;ND;C57BL/6J;WT;>400cm2;120;9;15;0;8c;;;;;;;;antiPD1;MEKi;NA;NA;0;0;0;0;Q4Dx4;Q1Dx13;NA;NA;10;0,5;0;0;RMP1-14;Tratemitinib;NA;NA;IP;OR;NA;NA;NA
Bommareddy_2018;SyMM;D4M3A;Melanoma;SC;0,3;NA;ADULT;ND;C57BL/6J;WT;>400cm2;120;9;15;0;8c;;;;;;;;MEKi;TVEC;NA;NA;0;0;0;0;Q1Dx13;Q4Dx6;NA;NA;0,5;1;0;0;Tratemitinib;mTVEC;NA;NA;OR;IT;NA;NA;NA
Bommareddy_2018;SyMM;D4M3A;Melanoma;SC;0,3;NA;ADULT;ND;C57BL/6J;WT;>400cm2;120;7;15;0;8c;;;;;;;;antiPD1;MEKi;TVEC;NA;0;0;0;0;Q4Dx4;Q1Dx13;Q4Dx6;NA;10;0,5;1;0;RMP1-14;Tratemitinib;mTVEC;NA;IP;OR;IT;NA;NA
Briere_2018;SyMM;CT26;Colon cancer;SC;0,5;NA;YOUNG;1;C57BL/6;WT;NA;40;13;10;0;5c;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Briere_2018;SyMM;CT26;Colon cancer;SC;0,5;NA;YOUNG;1;C57BL/6;WT;NA;40;13;12;0;5c;;;;;;;;Mocetinostat;NA;NA;NA;0;0;0;0;Q1Dx15;NA;NA;NA;100;0;0;0;Mocetinostat;NA;NA;NA;OR;NA;NA;NA;1
Briere_2018;SyMM;CT26;Colon cancer;SC;0,5;NA;YOUNG;1;C57BL/6;WT;NA;40;13;10;0;5c;;;;;;;;antiPDL1;NA;NA;NA;0;0;0;0;Q2Dx5;NA;NA;NA;10;0;0;0;10F.9G2;NA;NA;NA;IP;NA;NA;NA;0
Briere_2018;SyMM;CT26;Colon cancer;SC;0,5;NA;YOUNG;1;C57BL/6;WT;NA;40;13;10;0;5c;;;;;;;;antiPDL1;Mocetinostat;NA;NA;0;2;0;0;Q2Dx5;Q1Dx15;NA;NA;10;100;0;0;10F.9G2;Mocetinostat;NA;NA;IP;OR;NA;NA;1
Brockwell_2017;SyMM;4T12;Breast cancer;OT;0,1;NA;YOUNG;1;BALB/c;WT;Metastasis;50;10;2;0;7b;;;;25;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Brockwell_2017;SyMM;4T12;Breast cancer;OT;0,1;NA;YOUNG;1;BALB/c;WT;Metastasis;50;10;4;0;7b;;;;30;;;;PolyIC;NA;NA;NA;0;0;0;0;Q2Dx5;NA;NA;NA;1,25;0;0;0;polyIC;NA;NA;NA;IV;NA;NA;NA;1
Brockwell_2017;SyMM;4T12;Breast cancer;OT;0,1;NA;YOUNG;1;BALB/c;WT;Metastasis;50;10;2;0;7b;;;;24;;;;antiPD1;NA;NA;NA;0;0;0;0;Q2Dx4;NA;NA;NA;12,5;0;0;0;RMP1-14;NA;NA;NA;IP;NA;NA;NA;0
Brockwell_2017;SyMM;4T12;Breast cancer;OT;0,1;NA;YOUNG;1;BALB/c;WT;Metastasis;80;10;2;0;7b;;;;38;;;;antiPD1;PolyIC;NA;NA;0;2;0;0;Q2Dx4;Q2Dx5;NA;NA;12,5;1,25;0;0;RMP1-14;polyIC;NA;NA;IP;IV;NA;NA;1
Brockwell_2017;SyMM;4T12;Breast cancer;OT;0,1;NA;YOUNG;1;BALB/c;WT;Metastasis;30;10;13;0;7d;;;;24;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Brockwell_2017;SyMM;4T12;Breast cancer;OT;0,1;NA;YOUNG;1;BALB/c;WT;Metastasis;30;10;15;0;7d;;;;24;;;;PolyIC;NA;NA;NA;0;0;0;0;Q2Dx6;NA;NA;NA;1,25;0;0;0;polyIC;NA;NA;NA;IV;NA;NA;NA;0
Brockwell_2017;SyMM;4T12;Breast cancer;OT;0,1;NA;YOUNG;1;BALB/c;WT;Metastasis;30;10;13;0;7d;;;;23;;;;antiPD1;NA;NA;NA;0;0;0;0;Q2Dx4;NA;NA;NA;12,5;0;0;0;RMP1-14;NA;NA;NA;IP;NA;NA;NA;0
Brockwell_2017;SyMM;4T12;Breast cancer;OT;0,1;NA;YOUNG;1;BALB/c;WT;Metastasis;30;10;13;0;7d;;;;24;;;;antiPD1;PolyIC;NA;NA;0;2;0;0;Q2Dx4;Q2Dx6;NA;NA;12,5;1,25;0;0;RMP1-14;polyIC;NA;NA;IP;IV;NA;NA;0
Chen_2017;SyMM;M39M;Rhabdomyosarcoma;SC;5;0,2;YOUNG;0;C57BL/6;WT;>2.5cm3;40;7;15;15;1c;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chen_2017;SyMM;M39M;Rhabdomyosarcoma;SC;5;0,2;YOUNG;0;C57BL/6;WT;>2.5cm3;40;6;15;15;1c;;;;;;;;antiPD1;NA;NA;NA;4;0;0;0;Q3Dx4;NA;NA;NA;12,5;0;0;0;;NA;NA;NA;IP;NA;NA;NA;1
Chen_2017;SyMM;M39M;Rhabdomyosarcoma;SC;5;0,2;YOUNG;0;C57BL/6;WT;>2.5cm3;40;6;15;15;1c;;;;;;;;HSV1716;NA;NA;NA;0;0;0;0;Q2Dx3;NA;NA;NA;100;0;0;0;;NA;NA;NA;IT;NA;NA;NA;1
Chen_2017;SyMM;M39M;Rhabdomyosarcoma;SC;5;0,2;YOUNG;0;C57BL/6;WT;>2.5cm3;40;7;15;15;1c;;;;;;;;antiPD1;HSV1716;NA;NA;4;0;0;0;Q3Dx4;Q2Dx3;NA;NA;12,5;100;0;0;;;NA;NA;IP;IT;NA;NA;1
Chen_2017;SyMM;M39M;Rhabdomyosarcoma;SC;5;0,2;YOUNG;1;C57BL/6;WT;>2.5cm3;60;10;15;15;2b;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
