"","STUDY_ID","CANCER","N_ITT","N_mAb","TREATMENT_1","TREATMENT_2","TREATMENT_3","CONTROL","AGENT_1","AGENT_2","AGENT_3","OS_HR","OS_HR_LB","OS_HR_UB","PFS_HR","PFS_HR_LB","PFS_HR_UB","MOS","MOS_LB","MOS_UB","MOS_Control","MOS_LB_Control","MOS_UB_Control","PFS","PFS_LB","PFS_UB","PFS_Control","PFS_Control_LB","PFS_Control_UB","DOSE_1","DOSE_2","PHASE","STUDY_NAME","MASK","SOURCE","NCT.Number","INCLUDED","Treatments","mAb","OS_MR","PFS_MR","HR","SE_coef","PFS_SE","antiCTLA4","antiPD1","antiPDL1","antiVEGF","Axitinib","BRAFi","Chemotherapy","gp100","IDOi","MEKi","Radiotherapy"
"44","Govindan_2017","NSCLC",956,479,"antiCTLA4","Chemotherapy",NA,"Chemotherapy","Ipilimumab","ICC",NA,0.917,0.792,1.061,-0.140412153716745,0.749,1.009,10.94,9.56,12.02,10.74,9.66,11.73,5.55,5.36,5.85,5.59,5.52,5.72,"10","","","","Double-blinded","NCT","NCT01285609","IN","antiCTLA4_Chemotherapy","Ipilimumab_ICC",-0.0184507079131165,0.00718135940866458,-0.0866478067256722,0.074419564598146,0.0762115509603458,1,0,0,0,0,0,1,0,0,0,0
"46","Gutzmer_2020","SKCM",514,256,"antiPDL1","BRAFi","MEKi","BRAFi+MEKi","Atezolizumab","Vemurafenib","Cobimetinib",0.85,0.64,1.11,-0.2484613592985,0.63,0.97,28.8,27.4,NA,NA,NA,NA,15.1,11.4,18.4,10.6,9.3,12.7,"","","3","IMspire150","Double-blinded","PubMed","NCT02908672","IN","antiPDL1_BRAFi_MEKi","Atezolizumab_Vemurafenib_Cobimetinib",NA,-0.353840742702857,-0.162518929497775,0.136165229018046,0.111227631493928,0,0,1,0,0,1,0,0,0,1,0
"51","Hellman_2019","NSCLC",1739,396,"antiCTLA4","antiPD1",NA,"Chemotherapy","Ipilimumab","Nivolumab",NA,0.79,0.65,0.96,NA,NA,NA,17.1,15,20.1,14.9,12.7,16.7,5.1,4.1,6.3,5.6,4.6,5.8,"","","3","CheckMate 227","Open-label","PubMed","NCT02477826","IN","antiCTLA4_antiPD1","Ipilimumab_Nivolumab",-0.137717250557201,0.0935260580108235,-0.23572233352107,0.0994407757173926,NA,1,1,0,0,0,0,0,0,0,0,0
"53","Hellman_2019","NSCLC",1739,187,"antiCTLA4","antiPD1",NA,"Chemotherapy","Ipilimumab","Nivolumab",NA,0.62,0.48,0.78,NA,NA,NA,17.2,12.8,22,12.2,9.2,14.3,5.1,3.2,6.4,4.7,4.2,5.6,"","","","CheckMate 227","Open-label","PubMed","NCT02477826","IN","antiCTLA4_antiPD1","Ipilimumab_Nivolumab",-0.343473432080196,-0.0816780310142671,-0.478035800943,0.117131969492988,NA,1,1,0,0,0,0,0,0,0,0,0
"54","Hellman_2019","NSCLC",1739,177,"antiPD1","Chemotherapy",NA,"Chemotherapy","Nivolumab",NA,NA,0.78,0.6,1.02,-0.3147107448397,0.56,0.95,15.2,12.3,19.8,12.2,9.2,14.3,5.6,4.6,6.9,4.7,4.2,5.6,"","","","CheckMate 227","Open-label","PubMed","NCT02477826","IN","antiPD1_Chemotherapy","Nivolumab",-0.21985947611302,-0.17520408902509,-0.2484613592985,0.13687189596886,0.13439912800947,0,1,0,0,0,0,1,0,0,0,0
"59","Herbst_2016","NSCLC",1034,345,"antiPD1",NA,NA,"Chemotherapy","Pembrolizumab",NA,NA,0.71,0.58,0.88,-0.127833371509885,0.74,1.05,10.4,9.4,11.9,8.5,7.5,9.8,3.9,3.1,4.1,4,3.1,4.2,"2",NA,"2/3","KEYNOTE-010","Open-label","NCT","NCT01905657","IN","antiPD1","Pembrolizumab",-0.201739642651056,0.02531780798429,-0.342490308946776,0.109520858102535,0.0901157047131993,0,1,0,0,0,0,0,0,0,0,0
"60","Herbst_2016","NSCLC",1034,346,"antiPD1",NA,NA,"Chemotherapy","Pembrolizumab",NA,NA,0.61,0.49,0.75,-0.23572233352107,0.66,0.94,12.7,10,17.3,8.5,7.5,9.8,4,2.7,4.3,4,3.1,4.2,"10",NA,"2/3","KEYNOTE-010","Open-label","NCT","NCT01905657","IN","antiPD1","Pembrolizumab",-0.401535829968275,0,-0.49429632181478,0.105417370417388,0.0886990430305173,0,1,0,0,0,0,0,0,0,0,0
"62","Herbst_2020","NSCLC",572,285,"antiPDL1",NA,NA,"Chemotherapy","Atezolizumab",NA,NA,0.845,0.688,1.037,-0.334075112021491,0.595,0.863,18.9,13.4,23,14.7,11.2,16.5,5.8,5.5,7.3,5.6,4.7,5.7,"","","","IMPower110","Open-label","PubMed","NCT02409342","IN","antiPDL1","Atezolizumab",-0.251314428280906,-0.0350913198112702,-0.168418651624963,0.104466501674214,0.095274467079865,0,0,1,0,0,0,0,0,0,0,0
"66","Hodi_2010","SKCM",368,137,"antiCTLA4",NA,NA,"gp100","Ipilimumab",NA,NA,0.64,0.49,0.84,-0.446287102628419,NA,NA,10.1,8,13.8,6.4,5.5,8.7,2.86,2.76,3.02,2.76,2.73,2.83,"",NA,"3","","Double-blinded","PubMed","NCT00094653","IN","antiCTLA4","Ipilimumab",-0.456237433481588,-0.0355909451027026,-0.446287102628419,0.138744241031274,NA,1,0,0,0,0,0,0,0,0,0,0
"67","Hodi_2010","SKCM",368,403,"antiCTLA4","gp100",NA,"gp100","Ipilimumab","gp100",NA,0.69,0.56,0.85,-0.210721031315653,NA,NA,10,8.5,11.5,6.4,5.5,8.7,2.76,2.73,2.79,2.76,2.73,2.83,"","","3","","Double-blinded","PubMed","NCT00094653","IN","antiCTLA4_gp100","Ipilimumab_gp100",-0.446287102628419,0,-0.371063681390832,0.106402338786851,NA,1,0,0,0,0,0,0,1,0,0,0
"69","Hodi_2018","SKCM",945,314,"antiCTLA4","antiPD1",NA,"antiCTLA4","Ipilimumab","Nivolumab",NA,0.54,0.44,0.67,-0.867500567704723,0.35,0.51,51.8,38.2,NA,19.9,16.9,24.6,11.5,8.7,19.3,2.9,2.8,3.2,"3","3","3","Checkmate 067","Double-blinded","PubMed","NCT01844505","IN","antiCTLA4_antiPD1","Ipilimumab_Nivolumab",-0.956670417534991,-1.37763629837678,-0.616186139423817,0.11005741663019,0.0990610113106339,1,1,0,0,0,0,0,0,0,0,0
"70","Hodi_2018","SKCM",945,316,"antiPD1",NA,NA,"antiCTLA4","Nivolumab",NA,NA,0.65,0.53,0.79,-0.63487827243597,0.44,0.64,36.9,28.3,NA,19.9,16.9,24.6,6.9,5.1,10.2,2.9,2.8,3.2,"3",NA,"3","Checkmate 067","Double-blinded","PubMed","NCT01844505","IN","antiPD1","Nivolumab",-0.617491819316035,-0.866810674610785,-0.430782916092454,0.099522534143483,0.0962217526929745,0,1,0,0,0,0,0,0,0,0,0
"72","Horn_2018","SCLC",403,201,"antiPDL1",NA,NA,"Chemotherapy","Atezolizumab",NA,NA,0.7,0.54,0.91,-0.261364764134408,0.62,0.96,12.3,NA,NA,10.3,NA,NA,5.2,NA,NA,4.3,NA,NA,"1200","","3","IMpower133","Double-blinded","PubMed","NCT02763579","IN","antiPDL1","Atezolizumab",-0.177455367142782,-0.190043602887865,-0.356674943938732,0.133861778347453,0.112523888884574,0,0,1,0,0,0,0,0,0,0,0
"73","Huang_2020","GC/GEJC",457,228,"antiPD1",NA,NA,"Chemotherapy","Camrelizumab",NA,NA,0.71,0.57,0.87,NA,NA,NA,8.3,0.68,9.7,6.2,5.7,6.9,NA,NA,NA,NA,NA,NA,"200","","3","ESCORT","Open-label","PubMed","NCT03099382","IN","antiPD1","Camrelizumab",-0.291706222751506,NA,-0.342490308946776,0.103689783698224,NA,0,1,0,0,0,0,0,0,0,0,0
"75","Jotte_2020","NSCLC",1021,343,"antiPDL1","Chemotherapy",NA,"Chemotherapy","Atezolizumab","Carboplatin/nab-Paclitaxel",NA,0.88,0.73,1.05,-0.287682072451781,0.64,0.88,14.2,12.3,16.8,13.5,12.2,15.1,6.5,5.7,7.1,5.6,5.5,5.7,"","","","IMpower131","Open-label","PubMed","NCT02367794","IN","antiPDL1_Chemotherapy","Atezolizumab_Carboplatin/nab-Paclitaxel",-0.0505522791628312,-0.149035579160488,-0.127833371509885,0.0901157047131993,0.08155695829248,0,0,1,0,0,0,1,0,0,0,0
"79","Kato_2019","GC/GEJC",749,373,"antiPD1","Chemotherapy",NA,"Chemotherapy","Pembrolizumab","Cisplatin/5-FU",NA,0.73,0.62,0.86,-0.430782916092454,0.54,0.78,12.4,10.5,14,9.8,8.8,10.8,6.3,6.2,6.9,5.8,5,6.1,"200","80/800","3","KEYNOTE-590","Double-blinded","PubMed","NCT03189719","IN","antiPD1_Chemotherapy","Pembrolizumab_Cisplatin/5-FU",-0.235314086934465,-0.0826917158451134,-0.3147107448397,0.0836177891011484,0.0930229117637282,0,1,0,0,0,0,1,0,0,0,0
"81","Kato_2019b","GC/GEJC",419,210,"antiPD1",NA,NA,"Chemotherapy","Nivolumab",NA,NA,0.77,0.62,0.96,NA,NA,NA,10.5,4.5,19,8,4.6,15.2,1.7,1.5,2.7,3.4,3,4.2,"240","","3","ATTRACTION-3","Open-label","PubMed","NCT02569242","IN","antiPD1","Nivolumab",-0.271933715483642,0.693147180559945,-0.261364764134408,0.112523888884574,NA,0,1,0,0,0,0,0,0,0,0,0
"83","Kojima_2020","GC/GEJC",628,314,"antiPD1",NA,NA,"Chemotherapy","Pembrolizumab",NA,NA,0.89,0.75,1.05,0.104360015324243,0.94,1.31,7.1,6.2,8.1,7.1,6.3,8,2.1,2.1,2.2,3.4,3.4,3.9,"200","","3","KEYNOTE-181","Open-label","PubMed","NCT02564263","IN","antiPD1","Pembrolizumab",0,0.481838086892738,-0.116533816255952,0.0843505195653788,0.0845255949576515,0,1,0,0,0,0,0,0,0,0,0
"90","Kwon_2014","MCRPC",799,399,"antiCTLA4","Radiotherapy",NA,"Radiotherapy","Ipilimumab",NA,NA,0.85,0.72,1,-0.356674943938732,0.61,0.82,11.2,9.5,12.7,10,8.3,11,4,3.6,4.3,3.1,2.9,3.4,"","","","CA184-043","Double-blinded","PubMed","NCT00861614","IN","antiCTLA4_Radiotherapy","Ipilimumab",-0.113328685307003,-0.25489224962879,-0.162518929497775,0.0829193448347539,0.0807280166691556,1,0,0,0,0,0,0,0,0,0,1
"96","Larkin_2017","SKCM",405,272,"antiPD1",NA,NA,"Chemotherapy","Nivolumab",NA,NA,0.95,0.73,1.24,0,0.78,1.436,15.7,12.9,19.9,14.4,11.7,18.2,3.1,2.3,3.5,3.7,2.3,5.3,"3",NA,"3","Checkmate 037","Open-label","PubMed","NCT01721746","IN","antiPD1","Nivolumab",-0.0864325057723074,0.176930708159078,-0.0512932943875506,0.135923249664719,0.184626591855947,0,1,0,0,0,0,0,0,0,0,0
"102","Long_2019","SKCM",706,354,"antiPD1","IDOi",NA,"antiPD1","Pembrolizumab","Epacadostat",NA,1.13,0.86,1.49,0,0.83,1.21,14.5,NA,NA,14.5,NA,NA,4.7,2.9,6.8,4.9,2.9,6.8,"200+100","","3","ECHO-301","Double-blinded","PubMed","NCT02752074","IN","antiPD1_IDOi","Pembrolizumab_Epacadostat",0,0.0416726964005681,0.122217632724249,0.141103861813062,0.0972570726361499,0,1,0,0,0,0,0,0,1,0,0
"103","Mok_2019","NSCLC",1274,637,"antiPD1",NA,NA,"Chemotherapy","Pembrolizumab",NA,NA,0.81,0.71,0.93,0.0676586484738149,0.94,1.21,16.7,13.9,19.7,12.1,11.3,13.3,5.4,4.3,6.2,6.5,6.3,7,"200","","3","KEYNOTE-042","Open-label","PubMed","NCT02220894","IN","antiPD1","Pembrolizumab",-0.322203266820014,0.185403223331363,-0.210721031315653,0.0704861617716088,0.0627367197074748,0,1,0,0,0,0,0,0,0,0,0
"105","Motzer_2015","RCC",821,410,"antiPD1",NA,NA,"Everolimus","Nivolumab",NA,NA,0.73,0.57,0.93,-0.127833371509885,0.75,1.03,25,21.8,NA,19.6,17.6,23.1,4.6,3.7,5.4,4.4,3.7,5.5,"3","","3","CheckMate 025","Open-label","PubMed","NCT01668784","IN","antiPD1","Nivolumab",-0.243346258631729,-0.0444517625708337,-0.3147107448397,0.123543112993318,0.0803036050626025,0,1,0,0,0,0,0,0,0,0,0
"107","Motzer_2019","RCC",1096,550,"antiCTLA4","antiPD1",NA,"SOC","Ipilimumab","Nivolumab",NA,0.71,0.59,0.86,-0.162518929497775,0.73,0.98,NA,NA,NA,NA,NA,NA,9.7,8.1,11.1,9.7,8.3,11.1,"","","","Checkmate 214","Open-label","PubMed","NCT02231749","IN","antiCTLA4_antiPD1","Ipilimumab_Nivolumab",NA,0,-0.342490308946776,0.0977912965360795,0.0726116516950453,1,1,0,0,0,0,0,0,0,0,0
"112","Motzer_2019b","RCC",886,442,"antiPDL1","Axitinib",NA,"Axitinib","Avelumab","Axitinib",NA,0.78,0.55,1.09,-0.49429632181478,0.475,0.79,NA,NA,NA,NA,NA,NA,13.8,11.1,NA,7.2,5.7,9.7,"10","5","3","JAVELIN Renal 101","Open-label","PubMed","NCT02684006","IN","antiPDL1_Axitinib","Avelumab_Axitinib",NA,-0.650587566141149,-0.2484613592985,0.170737349348836,0.131927928438129,0,0,1,0,1,0,0,0,0,0,0
"113","Paz_Ares_2019","SCLC",805,268,"antiCTLA4","antiPDL1","Chemotherapy","Chemotherapy","Tremelimumab","Durvalumab","ICC",0.82,0.682,0.995,-0.174353387144778,0.696,1.005,10.4,9.6,12,10.5,9.3,11.2,4.9,4.7,5.9,5.4,4.8,6.2,"","","3","CASPIAN","Open-label","","NCT03043872","IN","antiCTLA4_antiPDL1_Chemotherapy","Tremelimumab_Durvalumab_ICC",0.00956945101615067,0.0971637484536477,-0.198450938723838,0.0986948731844623,0.091502155177562,1,0,1,0,0,0,1,0,0,0,0
"114","Paz_Ares_2019","SCLC",805,268,"antiPDL1","Chemotherapy",NA,"Chemotherapy","Durvalumab","ICC",NA,0.75,0.625,0.91,-0.22314355131421,0.665,0.959,12.9,11.3,14.7,10.5,9.3,11.2,5.1,4.7,6.2,5.4,4.8,6.2,"","","3","CASPIAN","Open-label","","NCT03043872","IN","antiPDL1_Chemotherapy","Durvalumab_ICC",-0.205852054204149,0.0571584138399488,-0.287682072451781,0.0986606868829369,0.0924911624118704,0,0,1,0,0,0,1,0,0,0,0
"121","NCT02545075","SKCM",182,122,"antiCTLA4",NA,NA,"Chemotherapy","Ipilimumab",NA,NA,1.13,0.87,1.45,-0.105360515657826,0.71,1.15,15.08,12.91,16.1,14.55,13.37,19.19,2.6,2.6,2.63,NA,NA,NA,"3","","3","","Open-label","NCT","NCT02545075","IN","antiCTLA4","Ipilimumab",-0.0357783689623085,NA,0.122217632724249,0.127219645705249,0.125064776682878,1,0,0,0,0,0,0,0,0,0,0
"124","Owonikoko_2021","SCLC",834,280,"antiPD1",NA,NA,"Placebo","Nivolumab",NA,NA,0.84,0.69,1.02,-0.400477566597125,0.56,0.81,10.41,9.46,12.12,9.56,8.18,11.01,1.87,1.61,2.63,NA,NA,NA,"240","","3","CheckMate 451","Double-blinded","NCT","NCT02538666","IN","antiPD1","Nivolumab",-0.0851791555635675,NA,-0.174353387144778,0.099061011310634,0.0968163378400053,0,1,0,0,0,0,0,0,0,0,0
"125","Owonikoko_2021","SCLC",834,279,"antiCTLA4","antiPD1",NA,"Placebo","Ipilimumab","Nivolumab",NA,0.92,0.75,1.12,-0.328504066972036,0.6,0.87,9.17,8.15,10.25,9.56,8.18,11.01,1.74,1.48,2.63,NA,NA,NA,"3","1","3","CheckMate 451","Double-blinded","NCT","NCT02538666","IN","antiCTLA4_antiPD1","Ipilimumab_Nivolumab",0.0416504407949366,NA,-0.083381608939051,0.100364239239945,0.0965538148309077,1,1,0,0,0,0,0,0,0,0,0
"130","Papadimitrakopoulou_2018","NSCLC",578,292,"antiPDL1","Chemotherapy",NA,"Chemotherapy","Atezolizumab","ICC",NA,0.813,0.644,1.025,-0.517514611916787,0.494,0.719,18.1,13,NA,13.6,11.4,15.5,7.6,6.6,8.5,5.2,4.3,5.6,"1200","","3","IMpower132","Open-label","NCT","NCT02657434","IN","antiPDL1_Chemotherapy","Atezolizumab_ICC",-0.285842145529774,-0.379489621704904,-0.207024169434327,0.118225020384278,0.0957266011700343,0,0,1,0,0,0,1,0,0,0,0
"132","Paz_Ares_2018","NSCLC",559,278,"antiPD1","Chemotherapy",NA,"Chemotherapy","Pembrolizumab",NA,NA,0.64,0.49,0.85,-0.579818495252942,0.45,0.7,15.9,13.2,11.3,11.3,NA,NA,6.4,6.2,8.3,4.8,4.3,5.7,"","","3","KEYNOTE-407","Double-blinded","PubMed","NCT02775435","IN","antiPD1_Chemotherapy","Pembrolizumab",-0.341516383507891,-0.287682072451781,-0.446287102628419,0.14478234057818,0.113850842706467,0,1,0,0,0,0,1,0,0,0,0
"133","Planchard_2020","NSCLC",126,62,"antiPDL1",NA,NA,"SOC","Durvalumab",NA,NA,0.63,0.42,0.93,-0.342490308946776,0.49,1.04,11.7,NA,NA,6.8,NA,NA,3.8,NA,NA,2.2,NA,NA,"","","3","ARCTIC","Open-label","NCT","NCT02352948","IN","antiPDL1","Durvalumab",-0.542666229621649,-0.54654370636807,-0.462035459596559,0.198710164999853,0.194754100131913,0,0,1,0,0,0,0,0,0,0,0
